factor_name,factor_family,description,formula,direction,lookback_window,required_fields,financial_or_market,point_in_time_required,neutralization_required,expected_sign,implementation_function,enabled,lifecycle_enabled,notes
reversal_1m,price_volume,One-month reversal,-P_t/P_{t-20}+1,1,20.0,qfq_close,market,False,True,positive after direction unification,src.factors.price_volume.add_reversal,True,True,
momentum_1m,price_volume,One-month momentum,P_t/P_{t-20}-1,1,20.0,qfq_close,market,False,True,positive after direction unification,src.factors.price_volume.add_momentum,True,True,
momentum_3m,price_volume,Three-month momentum,P_t/P_{t-60}-1,1,60.0,qfq_close,market,False,True,positive after direction unification,src.factors.price_volume.add_momentum,True,True,
momentum_6m,price_volume,Six-month momentum,P_t/P_{t-120}-1,1,120.0,qfq_close,market,False,True,positive after direction unification,src.factors.price_volume.add_momentum,True,True,
momentum_12m,price_volume,Twelve-month momentum,P_t/P_{t-250}-1,1,250.0,qfq_close,market,False,True,positive after direction unification,src.factors.price_volume.add_momentum,True,True,
volatility_1m,risk,Low one-month realized volatility,"-std(ret,20)",1,20.0,return_1d,market,False,True,positive after direction unification,src.factors.price_volume.add_low_volatility,True,True,
volatility_3m,risk,Low three-month realized volatility,"-std(ret,60)",1,60.0,return_1d,market,False,True,positive after direction unification,src.factors.price_volume.add_low_volatility,True,True,
turnover_1m,price_volume,Low one-month turnover,"-mean(turnover,20)",1,20.0,turnover,market,False,True,positive after direction unification,src.factors.price_volume.add_turnover_factors,True,True,
turnover_3m,price_volume,Low three-month turnover,"-mean(turnover,60)",1,60.0,turnover,market,False,True,positive after direction unification,src.factors.price_volume.add_turnover_factors,True,True,
liquidity_1m,price_volume,One-month trading amount liquidity,"log(1+mean(amount,20))",1,20.0,amount,market,False,True,positive after direction unification,src.factors.price_volume.add_liquidity_factor,True,True,
mom_60_20d,price_volume,Skip-month three-month momentum,P_{t-20}/P_{t-60}-1,1,60.0,qfq_close,market,False,True,positive after direction unification,src.factors.price_volume.add_momentum,True,False,Implemented library variant; excluded from lifecycle to limit near-duplicate horizons.
mom_120_20d,price_volume,Skip-month six-month momentum,P_{t-20}/P_{t-120}-1,1,120.0,qfq_close,market,False,True,positive after direction unification,src.factors.price_volume.add_momentum,True,False,Implemented library variant; excluded from lifecycle to limit near-duplicate horizons.
mom_250_20d,price_volume,Skip-month twelve-month momentum,P_{t-20}/P_{t-250}-1,1,250.0,qfq_close,market,False,True,positive after direction unification,src.factors.price_volume.add_momentum,True,False,Implemented library variant; excluded from lifecycle to limit near-duplicate horizons.
